WERKS;MATNR;MAKTX;MENGE;MEINS;LIFNR;BLDAT;BWART;KOSTL
1000;MAT-DIESEL-001;Diesel Kraftstoff;5000;L;VEND-001;20240103;201;KOST-100
1000;MAT-DIESEL-001;Diesel Kraftstoff;3200;L;VEND-001;20240110;201;KOST-100
2000;MAT-PETROL-002;Benzin Kraftstoff;1800;L;VEND-002;20240115;201;KOST-200
1000;MAT-DIESEL-001;Diesel Kraftstoff;4500;L;VEND-001;20240201;201;KOST-100
3000;MAT-LPG-003;LPG Gas;800;KG;VEND-003;20240205;201;KOST-300
2000;MAT-PETROL-002;Benzin Kraftstoff;2100;L;VEND-002;20240212;201;KOST-200
1000;MAT-NATGAS-004;Erdgas Natural Gas;1200;M3;VEND-004;20240218;201;KOST-100
4000;MAT-DIESEL-001;Diesel Kraftstoff;6800;L;VEND-001;20240301;201;KOST-400
3000;MAT-LPG-003;LPG Gas;950;KG;VEND-003;20240308;201;KOST-300
1000;MAT-DIESEL-001;Diesel Kraftstoff;3900;L;VEND-001;20240315;201;KOST-100
2000;MAT-PETROL-002;Benzin Kraftstoff;1650;L;VEND-002;20240322;201;KOST-200
4000;MAT-DIESEL-001;Diesel Kraftstoff;7200;L;VEND-001;20240401;201;KOST-400
1000;MAT-NATGAS-004;Erdgas Natural Gas;1500;M3;VEND-004;20240408;201;KOST-100
3000;MAT-LPG-003;LPG Gas;1100;KG;VEND-003;20240415;201;KOST-300
2000;MAT-PETROL-002;Benzin Kraftstoff;1900;L;VEND-002;20240422;201;KOST-200
1000;MAT-DIESEL-001;Diesel Kraftstoff;4100;L;VEND-001;20240501;201;KOST-100
4000;MAT-DIESEL-001;Diesel Kraftstoff;5500;L;VEND-001;20240510;201;KOST-400
;MAT-DIESEL-001;Diesel Kraftstoff;3000;L;VEND-001;20240515;201;KOST-100
1000;MAT-UNKNOWN-099;Unbekannt Material;250;PCE;VEND-005;20240520;201;KOST-100
2000;MAT-PETROL-002;Benzin Kraftstoff;-500;L;VEND-002;20240525;201;KOST-200
