account_number,site_name,billing_period_start,billing_period_end,consumption_kwh,peak_kwh,offpeak_kwh,demand_kw,tariff_code,total_cost,currency
MTR-001,London HQ,2024-01-15,2024-02-14,48250,31200,17050,142,LV-MED-TOU,9820.50,GBP
MTR-002,Manchester Plant,2024-01-18,2024-02-17,125400,78600,46800,380,HV-IND-01,24830.00,GBP
MTR-003,Birmingham Office,2024-01-20,2024-02-19,18600,11200,7400,58,LV-SME-01,3890.25,GBP
MTR-001,London HQ,2024-02-15,2024-03-14,51300,33100,18200,155,LV-MED-TOU,10420.75,GBP
MTR-002,Manchester Plant,2024-02-18,2024-03-17,132800,84200,48600,401,HV-IND-01,26180.00,GBP
MTR-004,Leeds Warehouse,2024-02-01,2024-02-28,22100,14300,7800,67,LV-SME-01,4530.00,GBP
MTR-003,Birmingham Office,2024-02-20,2024-03-19,17900,10800,7100,55,LV-SME-01,3740.50,GBP
MTR-001,London HQ,2024-03-15,2024-04-14,44800,28900,15900,138,LV-MED-TOU,9120.00,GBP
MTR-002,Manchester Plant,2024-03-18,2024-04-17,118600,74200,44400,362,HV-IND-01,23480.00,GBP
MTR-004,Leeds Warehouse,2024-03-01,2024-03-31,19800,12800,7000,61,LV-SME-01,4080.00,GBP
MTR-005,Glasgow Depot,2024-03-10,2024-04-09,31200,19800,11400,95,LV-MED-TOU,6380.25,GBP
MTR-001,London HQ,2024-04-15,2024-05-14,39600,25400,14200,122,LV-MED-TOU,8100.00,GBP
MTR-002,Manchester Plant,2024-04-18,2024-05-17,109400,68600,40800,334,HV-IND-01,21680.00,GBP
MTR-005,Glasgow Depot,2024-04-10,2024-05-09,29800,18900,10900,91,LV-MED-TOU,6090.50,GBP
,Birmingham Office,2024-04-20,2024-05-19,16800,10200,6600,52,LV-SME-01,3510.00,GBP
MTR-006,Bristol Site,2024-04-01,2024-06-30,85000,54000,31000,260,HV-IND-01,17200.00,GBP
MTR-003,Birmingham Office,2024-05-20,2024-06-19,15200,9100,6100,48,LV-SME-01,3180.00,GBP
